Name,Completed,Created Time,Finish,Finish Time,Job,Multi-select,Operator,Quantity,Reference Photo,Start,Start Time
11.12.25_UnFin10_17-Profile 3,Yes,"November 12, 2025 12:25 PM",,Nov 17 3:36 PM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_UnFin10.html,,Nov 17 3:28 PM (EST)
11.12.25_UnFin09_16-Profile 3,Yes,"November 12, 2025 12:25 PM",,Nov 17 3:27 PM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_UnFin09.html,,Nov 17 3:18 PM (EST)
11.12.25_UnFin11_18-Profile 3,Yes,"November 12, 2025 12:25 PM",,Nov 18 7:52 AM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_UnFin11.html,,Nov 17 3:36 PM (EST)
11.12.25_UnFin12_19-Profile 3,Yes,"November 12, 2025 12:25 PM",,Nov 18 7:52 AM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_UnFin12.html,,
11.12.25_UnFin13_20-Profile 3,Yes,"November 12, 2025 12:25 PM",,Nov 18 7:52 AM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_UnFin13.html,,
11.12.25_PreFin01_1-3-Slide Holes,Yes,"November 12, 2025 12:25 PM",,Nov 12 2:04 PM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_PreFin01.html,,Nov 12 2:04 PM (EST)
11.12.25_PreFin02_4-5-Shelf Pins,Yes,"November 12, 2025 12:25 PM",,Nov 12 2:26 PM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_PreFin02.html,,Nov 12 2:04 PM (EST)
11.12.25_PreFin03_6-Profile 3,Yes,"November 12, 2025 12:25 PM",,Nov 12 2:26 PM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_PreFin03.html,,Nov 12 2:26 PM (EST)
11.12.25_PreFin04_7-9-Slide Holes,Yes,"November 12, 2025 12:25 PM",,Nov 13 8:08 AM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_PreFin04.html,,Nov 13 8:08 AM (EST)
11.12.25_PreFin05_10-13-Slide Holes,Yes,"November 12, 2025 12:25 PM",,Nov 13 8:08 AM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_PreFin05.html,,Nov 13 8:08 AM (EST)
11.12.25_PreFin06_14-17-Slide Holes,Yes,"November 12, 2025 12:25 PM",,Nov 13 8:29 AM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_PreFin06.html,,Nov 13 8:29 AM (EST)
11.12.25_PreFin07_18-20-Slide Holes,Yes,"November 12, 2025 12:25 PM",,Nov 13 8:54 AM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_PreFin07.html,,Nov 13 8:29 AM (EST)
11.12.25_PreFin08_21-23-Shelf Pins,Yes,"November 12, 2025 12:25 PM",,Nov 13 9:38 AM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_PreFin08.html,,Nov 13 9:38 AM (EST)
11.12.25_PreFin09_24-25-Shelf Pins,Yes,"November 12, 2025 12:25 PM",,Nov 13 9:55 AM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_PreFin09.html,,Nov 13 9:55 AM (EST)
11.12.25_PreFin10_26-28-Shelf Pins,Yes,"November 12, 2025 12:25 PM",,Nov 13 11:40 AM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_PreFin10.html,,Nov 13 11:40 AM (EST)
11.12.25_PreFin11_29-30-Shelf Pins,Yes,"November 12, 2025 12:25 PM",,Nov 13 11:40 AM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_PreFin11.html,,Nov 13 11:40 AM (EST)
11.12.25 BACK_1Medex01_1-3-Drill 1,Yes,"November 12, 2025 12:51 PM",,Nov 17 10:41 AM (EST),Polpis,,,,,,Nov 17 10:41 AM (EST)
11.12.25 FACE_1Medex01_1-4-Pocket 2 [Clear 1],Yes,"November 12, 2025 12:51 PM",,Nov 17 10:41 AM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_1Medex01_Top.html,,Nov 17 10:41 AM (EST)
11.12.25 BACK_1Medex02_4-6-Drill 1,Yes,"November 12, 2025 12:51 PM",,Nov 17 12:42 PM (EST),Polpis,,,,,,Nov 17 10:41 AM (EST)
11.12.25 FACE_1Medex02_5-8-Pocket 2 [Clear 1],Yes,"November 12, 2025 12:51 PM",,Nov 17 12:42 PM (EST),Polpis,,,,Cut%20File%20Log/11.12.25_1Medex02_Top.html,,Nov 17 12:42 PM (EST)
11.13.25_WalMDF_01_1-Profile 3,Yes,"November 13, 2025 9:55 AM",,Nov 13 2:12 PM (EST),"ABF, MedCenter",,,,Cut%20File%20Log/11.136.25_WalMDF_01.html,,Nov 13 2:12 PM (EST)
11.13.25_WalMDF_02_2-Profile 3,Yes,"November 13, 2025 9:55 AM",,Nov 13 2:12 PM (EST),"ABF, MedCenter",,,,Cut%20File%20Log/11.136.25_WalMDF_02.html,,Nov 13 2:12 PM (EST)
